Castoroides
Thamnomys
Necromys
Phaulomys
Lasiopodomys
Prometheomys
Blanfordimys
Cynogale
Chlorocebus
Harpyionycteris
Rungwecebus
Hippocamelus
Ia
Carpomys
Tarsomys
Limnomys
Crunomys
Crateromys
Bullimus
Hyladelphys
Laonastes
Homotherium
Miracinonyx
Zyzomys
Mesembriomys
Xeromys
Mastacomys
Hyomys
Cremnomys
Thallomys
Oenomys
Dacnomys
Anisomys
Aepeomys
Allocricetulus
Tscherskia
Otopteropus
Bdeogale
Penthetor
Dyacopterus
Hoolock
Symphalangus
Nomascus
Liomys
Palaeopropithecus
Cryptonanus
Anathana
Ptilocercus
Setifer
Limnogale
Hemicentetes
Poecilogale
Paracynictis
Taurotragus
Cynomops
Cloeotis
Anthops
Haplonycteris
Vormela
Desmodillus
Pachyuromys
Desmodilliscus
Sekeetamys
Strigocuscus
Chilonatalus
Nyctiellus
Poelagus
Potamochoerus
Rhinonicteris
Paranyctimene
Boneia
Scotorepens
Cheiromeles
Cardioderma
Chionomys
Episoriculus
Chodsigoa
Megasorex
Nectogale
Lophostoma
Arctocebus
Euoticus
Phaner
Tylonycteris
Scotomanes
Scotoecus
Laephotis
Histiotus
Otomops
Mops
Triaenops
Leporillus
Arborimus
Molossops
Rhynchonycteris
Peropteryx
Cormura
Phloeomys
Lophiomys
Blastocerus
Dendrogale
Chaerephon
Euneomys
Bibimys
Brucepattersonius
Thalpomys
Hodomys
Apomys
Rhynchomys
Chrotomys
Archboldomys
Caprolagus
Notiosorex
Batomys
Corynorhinus
Deltamys
Neotomodon
Megadontomys
Pipanacoctomys
Megaloceros
Xerus
Atlantoxerus
Sciurotamias
Syntheosciurus
Rheithrosciurus
Ratufa
Trogopterus
Pteromyscus
Petaurillus
Iomys
Eoglaucomys
Eupetaurus
Aeromys
Aeretes
Protoxerus
Myosciurus
Heliosciurus
Epixerus
Funisciurus
Tamiops
Sundasciurus
Rubrisciurus
Rhinosciurus
Prosciurillus
Nannosciurus
Lariscus
Hyosciurus
Glyphotes
Exilisciurus
Dremomys
Tlacuatzin
Scaptonyx
Caloprymnus
Coelodonta
Indopacetus
Myomimus
Rhagomys
Eupleres
Salanoia
Amphinectomys
Sigmodontomys
Rheomys
Pseudoryzomys
Melanomys
Lundomys
Juliomys
Handleyomys
Hippidion
Galidictis
Rhynchogale
Mungos
Liberiictis
Helogale
Atilax
Zelotomys
Heimyscus
Craseonycteris
Ommatophoca
Poiana
Osbornictis
Mungotictis
Ichneumia
Melogale
Galictis
Eira
Blarinella
Galemys
Myotragus
Pappogeomys
Urogale
Acrobates
Aselliscus
Pseudomys
Coelops
Rhombomys
Chrysochloris
Notomys
Priodontes
Tolypeutes
Zaedyus
Cryptotis
Aconaemys
Desmana
Dymecodon
Neurotrichus
Scapanus
Microcavia
Kerodon
Uropsilus
Lonchothrix
Kannabateomys
Hoplomys
Clyomys
Potamogale
Geogale
Microgale
Chrysospalax
Wyulda
Lagurus
Parahyaena
Octodontomys
Chironax
Ailurops
Procolobus
Xenomys
Tylomys
Volemys
Pudu
Echinosorex
Otaria
Neophoca
Hydromys
Zygodontomys
Pentalagus
Abrothrix
Myzopoda
Scotophilus
Rhogeessa
Otonycteris
Euderma
Rhynchocyon
Congosorex
Scutisorex
Ruwenzorisorex
Myosorex
Paracrocidura
Erophylla
Platalina
Lionycteris
Furipterus
Balantiopteryx
Diclidurus
Diphylla
Diaemus
Chrotopterus
Vampyrum
Trachops
Phylloderma
Mimon
Micronycteris
Macrophyllum
Lonchorhina
Musonycteris
Monophyllus
Lichonycteris
Hylonycteris
Choeronycteris
Choeroniscus
Vampyrodes
Vampyressa
Stenoderma
Sphaeronycteris
Pygoderma
Phyllops
Mesophylla
Ectophylla
Ariteus
Ardops
Ametrida
Puma
Petauroides
Eospalax
Fossa
Condylura
Euphractus
Ototylomys
Arctonyx
Lonchophylla
Phyllonycteris
Rhinophylla
Nothrotheriops
Octomys
Ptenochirus
Sylvisorex
Anourosorex
Megaladapis
Lestodelphys
Gracilinanus
Caluromysiops
Thyroptera
Rhinopoma
Harpiocephalus
Allocebus
Avahi
Grammomys
Desmomys
Golunda
Millardia
Mylomys
Parotomys
Pelomys
Rhabdomys
Tapecomys
Salinomys
Taterillus
Colomys
Sylvicapra
Graomys
Andinomys
Andalgalomys
Lipotes
Euroscaptor
Spilocuscus
Petrodromus
Malacomys
Mesechinus
Emballonura
Otomys
Hypsugo
Elaphodus
Dinomys
Abrocoma
Monticolomys
Voalavo
Microdipodops
Petromyscus
Gymnuromys
Eliurus
Brachyuromys
Brachytarsomys
Myospalax
Saccostomus
Dendromus
Deomys
Diplothrix
Urotrichus
Juscelinomys
Micropotamogale
Nesolagus
Sousa
Sotalia
Peponocephala
Lagenodelphis
Feresa
Lobodon
Heteromys
Eozapus
Napaeozapus
Zenkerella
Idiurus
Anomalurus
Belomys
Petinomys
Hylopetes
Spermophilopsis
Zapus
Synaptomys
Alticola
Pseudoryx
Hyaena
Mystacina
Noctilio
Tenrec
Parascalops
Oryzorictes
Viverricula
Prionodon
Hemigalus
Genetta
Cryptoprocta
Civettictis
Chrotogale
Arctogalidia
Arctictis
Macrotis
Chaeropus
Massoutiera
Thylamys
Chironectes
Galagoides
Dicerorhinus
Stenocephalemys
Myomys
Hypogeomys
Pearsonomys
Wiedomys
Wilfredomys
Scapteromys
Nesoryzomys
Kunsia
Delomys
Chilomys
Blarinomys
Semnopithecus
Okapia
Dicrostonyx
Lagidium
Cyclopes
Sundamys
Berylmys
Mirza
Grampus
Eothenomys
Pseudorca
Leggadina
Steatomys
Lemmus
Holochilus
Solenodon
Heterohyrax
Myonycteris
Micropteropus
Megaerops
Epomops
Balionycteris
Aethalops
Pseudonovibos
Aonyx
Lophocebus
Trichys
Dipus
Allactaga
Tetracerus
Tokudaia
Lasiurus
Dasymys
Hybomys
Viverra
Scalopus
Paradoxurus
Nandinia
Lontra
Crossarchus
Myrmecophaga
Myopus
Beamys
Litocranius
Dorcopsulus
Dorcopsis
Niviventer
Maxomys
Bandicota
Speothos
Cuon
Chrysocyon
Atelocynus
Moschus
Oreotragus
Neotragus
Lagostrophus
Peroryctes
Onychogalea
Lagorchestes
Hypsiprymnodon
Bettongia
Funambulus
Callosciurus
Ozotoceros
Hydrodamalis
Mogera
Chimarrogale
Soriculus
Tympanoctomys
Spalacopus
Catopuma
Neofelis
Profelis
Pardofelis
Otocolobus
Leptailurus
Galidia
Caracal
Arvicanthis
Aethomys
Antechinomys
Redunca
Pelea
Raphicerus
Pseudois
Procapra
Pantholops
Ourebia
Beatragus
Antilope
Antidorcas
Alcelaphus
Addax
Murina
Natalus
Vespertilio
Saccopteryx
Pteronotus
Nyctophilus
Nycticeinops
Nycteris
Mormoops
Kerivoula
Barbastella
Thoopterus
Syconycteris
Pteralopex
Notopteris
Melonycteris
Megaloglossus
Hipposideros
Epomophorus
Eonycteris
Eidolon
Aproteles
Acerodon
Hexaprotodon
Podomys
Isthmomys
Habromys
Phenacomys
Mystromys
Scotinomys
Reithrodon
Phyllotis
Ochrotomys
Nyctomys
Nelsonia
Eligmodontia
Baiomys
Myrmecobius
Petaurista
Pteromys
Glirulus
Dryomys
Leptonycteris
Galerella
Ictonyx
Bassariscus
Mydaus
Urocyon
Trachypithecus
Allenopithecus
Pygathrix
Lemniscomys
Eliomys
Rhizomys
Sicista
Neomys
Nesomys
Menetes
Macrotarsomys
Tasmacetus
Nesokia
Lophuromys
Graphiurus
Aplodontia
Nyctalus
Catagonus
Chalinolobus
Tachyoryctes
Rhinolophus
Gerbillurus
Nyctimene
Podogymnura
Hylomys
Jaculus
Cabassous
Mylodon
Platanista
Orcaella
Hyperoodon
Berardius
Pontoporia
Bassaricyon
Gulo
Psammomys
Romerolagus
Bunolagus
Brachylagus
Scolomys
Oecomys
Paraxerus
Leopardus
Steno
Ammospermophilus
Sciurillus
Glaucomys
Cynomys
Microsciurus
Reithrodontomys
Nasalis
Mazama
Elaphurus
Thrichomys
Euryzygomatomys
Coendou
Myoprocta
Trinomys
Echymipera
Lestoros
Metachirus
Marmosops
Glironia
Caluromys
Sigmodon
Neotoma
Dendrohyrax
Dobsonia
Pronolagus
Babyrousa
Phacochoerus
Uranomys
Leopoldamys
Tatera
Glis
Cynictis
Carollia
Monodon
Erignathus
Cystophora
Ellobius
Muscardinus
Mammut
Onychomys
Chaetodipus
Tarsipes
Microperoryctes
Phascolarctos
Phalanger
Lutreolina
Gymnobelideus
Dactylopsila
Distoechurus
Dendrolagus
Cercartetus
Burramys
Aepyprymnus
Pseudochirops
Isoodon
Notoryctes
Caenolestes
Perognathus
Osgoodomys
Malacothrix
Mammuthus
Hippotragus
Budorcas
Hemitragus
Ovibos
Suricata
Prionailurus
Neacomys
Microryzomys
Crocidura
Uromys
Melomys
Miopithecus
Eremodipus
Allactodipus
Zygogeomys
Orthogeomys
Pecari
Petaurus
Neophocaena
Phocarctos
Eumetopias
Callorhinus
Enhydra
Nyctereutes
Saiga
Oreamnos
Naemorhedus
Rupicapra
Hylomyscus
Stochomys
Dasyprocta
Erethizon
Capromys
Atherurus
Indri
Dromiciops
Rhyncholestes
Ctenomys
Zaglossus
Ningaui
Neophascogale
Myoictis
Dasyuroides
Dasycercus
Acinonyx
Setonix
Lasiorhinus
Mastomys
Nannospalax
Mesomys
Isothrix
Echimys
Dactylomys
Otolemur
Propithecus
Pithecia
Cacajao
Brachyteles
Leontopithecus
Paraechinus
Hemiechinus
Taxidea
Spilogale
Mephitis
Conepatus
Vicugna
Vombatus
Dugong
Thomasomys
Rhipidomys
Oxymycterus
Oryzomys
Oligoryzomys
Notiomys
Nectomys
Lenoxus
Irenomys
Geoxus
Chelemys
Calomys
Auliscomys
Dolichotis
Monachus
Hydrurga
Arctocephalus
Macroscelides
Chaetophractus
Eptesicus
Macroglossus
Potos
Elephantulus
Plecotus
Pipistrellus
Nycticeius
Lasionycteris
Idionycteris
Uroderma
Sturnira
Platyrrhinus
Chiroderma
Centurio
Anoura
Glossophaga
Tomopeas
Promops
Nyctinomops
Mormopterus
Molossus
Eumops
Lissodelphis
Lagenorhynchus
Cephalorhynchus
Eubalaena
Caperea
Balaena
Tamias
Cratogeomys
Monodelphis
Hapalemur
Geomys
Eulemur
Taphozous
Smilodon
Micromys
Microcebus
Lynx
Daubentonia
Gerbillus
Castor
Petromus
Heterocephalus
Heliophobius
Georychus
Cryptomys
Bathyergus
Thryonomys
Ctenodactylus
Proechimys
Octodon
Myocastor
Lagostomus
Chinchilla
Hydrochoerus
Galea
Cavia
Hystrix
Calomyscus
Apodemus
Conilurus
Rattus
Praomys
Mus
Cricetomys
Bolomys
Akodon
Acomys
Spalax
Ondatra
Microtus
Arvicola
Meriones
Phodopus
Peromyscus
Mesocricetus
Cricetus
Cricetulus
Pedetes
Dipodomys
Thomomys
Tamiasciurus
Sciurus
Spermophilus
Marmota
Sylvilagus
Oryctolagus
Lepus
Ochotona
Manis
Syncerus
Capricornis
Kobus
Oryx
Cephalophus
Madoqua
Tragelaphus
Ovis
Gazella
Damaliscus
Connochaetes
Capra
Bubalus
Boselaphus
Bos
Bison
Ammotragus
Aepyceros
Giraffa
Antilocapra
Muntiacus
Hydropotes
Odocoileus
Rangifer
Dama
Cervus
Capreolus
Axis
Alces
Tragulus
Lama
Camelus
Hippopotamus
Tayassu
Sus
Orycteropus
Procavia
Rhinoceros
Ceratotherium
Diceros
Tapirus
Equus
Loxodonta
Elephas
Trichechus
Megaptera
Balaenoptera
Eschrichtius
Ziphius
Mesoplodon
Physeter
Kogia
Delphinapterus
Phocoenoides
Phocoena
Tursiops
Stenella
Orcinus
Globicephala
Delphinus
Inia
Phoca
Mirounga
Leptonychotes
Halichoerus
Odobenus
Zalophus
Herpestes
Panthera
Felis
Proteles
Crocuta
Paguma
Pteronura
Mustela
Mellivora
Meles
Martes
Lutra
Procyon
Nasua
Ailurus
Ailuropoda
Ursus
Tremarctos
Melursus
Helarctos
Vulpes
Otocyon
Lycaon
Dusicyon
Canis
Homo
Pongo
Pan
Gorilla
Hylobates
Presbytis
Colobus
Mandrillus
Theropithecus
Papio
Macaca
Erythrocebus
Cercopithecus
Cercocebus
Chiropotes
Callicebus
Saimiri
Lagothrix
Cebus
Ateles
Aotus
Alouatta
Callimico
Saguinus
Callithrix
Tarsius
Perodicticus
Nycticebus
Loris
Galago
Cheirogaleus
Cynocephalus
Varecia
Lepilemur
Lemur
Antrozous
Tadarida
Myotis
Miniopterus
Desmodus
Tonatia
Phyllostomus
Brachyphylla
Macrotus
Artibeus
Megaderma
Macroderma
Rousettus
Pteropus
Cynopterus
Tupaia
Amblysomus
Blarina
Sorex
Suncus
Talpa
Echinops
Atelerix
Erinaceus
Dasypus
Choloepus
Bradypus
Tamandua
Perameles
Trichosurus
Pseudocheirus
Wallabia
Thylogale
Petrogale
Macropus
Potorous
Sarcophilus
Sminthopsis
Pseudantechinus
Planigale
Phascolosorex
Phascogale
Parantechinus
Murexia
Dasykaluta
Antechinus
Dasyurus
Thylacinus
Philander
Marmosa
Didelphis
Tachyglossus
Ornithorhynchus
